Species/Subsp.;Genus;(E)-Hex-3-en-1-ol;Ethyl-2-methyl butyrate;(E)-2-Hexenal;(Z)-Hex-3-en-1-ol;(Z)-2-Hexenol;1-Hexenol;tricyclene;α-thujene;α-pinene;camphene;thuja-2,4(10)diene;oct-1-en-3-ol;sabinene;β-pinene;1,8-dehydro-cineole;myrcene;3-Octanol;α-phellandrene;3-carene;α-terpinene;p-cymene;limonene;1,8-cineole;β-phellandrene;Z-β-ocimene;E-β-ocimene;γ-terpinene;trans-Hydrate sabinene;Fenchone;p-cymenene;terpinolene;linalool;nonanal;cis-sabinene hydrate;1-octen-3-yl acetate;perillene;2-Methyl-butyl isovalerate;Fencyl alcohol;p-mentha-1,3,8-triene;Cis-p-Menth-2-en-1-ol;3-Octyl acetate;camphor;trans-pinocarveol;Trans-p-Menth-2-en-1-ol;cis-verbenol;trans-verbenol;Menthone;p-Menth-3-en-8-ol;pinocarvone;Iso-Menthone;Isoborneol;borneol;Neo-Menthol;Cryptone;terpinen-4-ol;Menthol;Myrtenal;Iso-Menthol;α-terpineol;Myrtenol;α-Campholenol;trans-carveol;Nerol;Fenchyl acétate;Pulegone;"cis-3-hexenyl-2-methyl
butyrate";carvone;Piperitone;Geraniol;Linalyl acetate;Geranial;Neryl formate;thymol;Neo-Menthyl acetate;bornyl acetate;Lavandulyl acetate;carvacrol;Menthyl acetate;Iso-Menthyl acetate;Myrtenyl acetate;Piperitenone;thymyl acetate;Eugenol;α-terpinyl acetate;carvacryl acetate;Neryl acetate;α-cubebene;Geranyl acetate;α-copaene;β-bourbonene;β-elemene;isocaryophyllene;α-gurjumene;E-β-caryophyllene;E-β-farnesene;α-humulene;γ-muurolene;germacrene D;β-selinene;bicyclogermacrene;α-Muurolene;β-bisabolene;γ-cadinene;trans-Calamenene;δ-cadinene;Cadina-1,4-diene;α-Calacorene;α-cadinene;E-α-bisabolene;β-Calacorene;Spathulenol;epi-globulol;caryophyllene oxyde;Globulol;Viridiflorol;Tau-cadinol;Cubenol;Tau-muurolol;α-bisabolol;abietatriene;abieta-7,13-diene
"
Thymus Capitatus
";Thymus;0;0;0;0;0;0;0;0.2;0.9;0.2;0;0.5;0;0.1;0;2.1;0;0.2;0.1;1.7;12.4;0;0;0;0.6;0;4.3;0.1;0;0;0.2;1.7;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.5;0.3;0;0;1.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;69.6;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;1.6;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0
"
Thymus Munbyanus Abylaeus
";Thymus;0;0;0;0;0;0;0.5;0.3;1.6;3.2;0.1;0.1;0.1;0.1;1;1.3;0;0;0;0.1;0.1;4.1;2.9;0;0.1;1.5;0.4;0;0;0.1;0.5;0;0;0.3;0.7;0;0;0;0.1;0;0;1.4;0.4;0;0.5;0;0;0;0.1;0;0;6.8;0;0;0.6;0;0.1;0;9.7;0;0;0.2;0;0;0;0;0.1;0;0;0;0;0;0;0;5.2;0;0;0;0;0;0;0;0;51.7;0;0;0;0;0.2;0.1;0;0;0.1;0.5;0;0;0.3;0.1;0;0.1;0;0.7;0.2;0;0.5;0;0;0;0;0;0;0;0.3;0;0;0.1;0;0;0.1;0;0
"
Thymus Munbyanus Ciliatus
";Thymus;0;0;0;0;0;0;0;0.6;0.6;0.1;0;0;0.3;0.1;0;2.4;0;0.3;0.1;2.1;7.9;0;0;0.5;0;0.1;13.6;0;0;0;0.2;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0.9;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;65.7;0;0;0;0;0.1;0;0;0.2;0;0;0;0;0;0;0;0;1.8;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.2;0.1
"
Thymus Munbyanus Coloratus
";Thymus;0;0;0;0;0;0;0;0.8;3.1;6.2;0;0.3;0.1;1.7;0;16.9;0;0;0;0.3;0.3;5.6;6.5;0;0.1;1.9;0.5;0;0;0;0.4;2.1;0.5;0;0;0.3;0;0;0;0;0;25.9;0.6;0;0;0;0;0;0.2;0;0;2.1;0;0;1.3;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.2;0;0.7;0.6;0.3;0;0.1;2.2;0.5;0;3.4;0.7;0.9;0;0;0.5;0.7;0;5.7;0;0;0.7;0;0;0;0;1.2;0;0;0;0;0;0.8;0;0
"
Mentha Pulegium
";Mentha;0;0;0;0;0;0;0;0.1;0.5;0;0;0.8;0;0.2;0;0;0.8;0;0;0;0;1.1;0.6;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.8;0;0;0.7;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;77.3;0;0;0.3;0;0;0;0;0;0.1;0;0;0;0;0.1;0;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"
Mentha Piperita
";Mentha;0;0;0.1;0;0;0;0;0;0.2;0;0;0;0;0.3;0;1.2;0;0;0;0;0;0;3.8;0;0.4;0.4;0.2;0;0;0;0.1;40.4;0;0;0;0;0.4;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;1.1;0;0.1;0;0;0;2.4;32.6;0.2;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0;2.7;0;2.5;0;0.1;0;0;0;0.8;0.1;0;0.1;0.1;0;0;0;0;0.2;0.2;0;0.1;0;0.2;0;0;0;0;0.3;0.5;0;0;0;0;0;0;0
"
Mentha Rotundifulia
";Mentha;0;0.1;0.1;0.1;0;0;0;0.2;0.4;0;0;0.5;0.2;0.4;0;1.3;0.2;0;0;0.1;1;0.3;0.2;0;0.2;0;0.3;3;0;0;0.5;0;0;0.1;0.1;0;0;0;0;0.1;0;0;0;0;0;0;28.5;3.1;0;19;0;0.1;10.4;0;2.7;1.4;0;2.1;2.9;0;0;0;0;0;5.6;0;0;1.3;0;0;0;0;0;5;0;0;0;2.1;1.8;0;1.8;0;0;0.1;0;0;0;0;0.1;0;0;0;0;0.4;0.2;0;0.2;0.1;0;0;0.1;0;0.2;0.1;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0
"
Rosmarinus Officinalis
";Rosmarinus;0;0;0;0;0;0;0.1;0.1;6.8;3.4;0.1;0.2;0.1;5.3;0;1;0;0.1;0.1;0.3;1;1.2;49.4;0;0.1;0;0.5;0.1;0;0;0.2;0.8;0;0;0;0;0;0;0;0;0;13.2;0;0;0;0;0;0;0.3;0;0;3;0;0;1.2;0;0;0;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0
Rosmarinus NA;Rosmarinus;0;0;0;0;0;0;0;0;24.4;21.5;0;0;0.1;6.5;0;0.8;0;0;0.7;0;2;0;9;0.7;0;0;0.9;0;0;0;0.4;0;0;0.1;0;0;0;0;0;0;0;23.5;0;0;0;0;0;0;0;0;0;0.7;0;0;0.6;0;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;1.9;0.1;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"
Lavandula Stoechas
";Lavandula;0;0;0;0;0;0;0.1;0;1.7;2.1;0.2;0;0;0;0;0;0;0;2.1;0;0.5;0;14.8;0;0;0;0.1;0;37.8;0;0;0.7;0;0;0;0;0;1.1;0;0;0;19.5;0;0;0.3;0.3;0;0;0;0;0.5;0;0;0;0.4;0.9;0.7;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;3.6;0;0;0;0;3.7;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0.2;0;1.2;0;0.6;0.2;0;0;0
